iter	Passed	Remaining
0	134	134629
1	135	67709
2	136	45301
3	137	34126
4	137	27433
5	138	22931
6	139	19722
7	139	17303
8	140	15428
9	140	13923
10	141	12694
11	141	11670
12	142	10811
13	142	10069
14	143	9422
15	143	8855
16	144	8358
17	145	7916
18	145	7518
19	146	7158
20	146	6835
21	147	6545
22	147	6278
23	148	6040
24	149	5816
25	149	5606
26	150	5412
27	150	5232
28	151	5064
29	151	4909
30	152	4761
31	152	4624
32	153	4495
33	154	4377
34	154	4263
35	155	4154
36	155	4052
37	156	3955
38	156	3862
39	157	3775
40	157	3693
41	158	3615
42	159	3541
43	159	3470
44	160	3403
45	160	3337
46	161	3273
47	162	3213
48	162	3153
49	162	3095
50	163	3039
51	163	2984
52	164	2932
53	164	2886
54	165	2840
55	165	2796
56	166	2751
57	166	2708
58	167	2665
59	167	2626
60	168	2587
61	168	2549
62	168	2512
63	169	2476
64	169	2442
65	170	2409
66	170	2377
67	171	2347
68	171	2317
69	172	2288
70	172	2258
71	173	2230
72	173	2204
73	174	2178
74	174	2152
75	174	2127
76	175	2104
77	176	2081
78	176	2059
79	177	2038
80	177	2015
81	178	1993
82	178	1973
83	179	1954
84	179	1934
85	180	1914
86	180	1895
87	181	1876
88	181	1856
89	181	1839
90	182	1821
91	182	1804
92	183	1787
93	183	1771
94	184	1754
95	184	1737
96	184	1722
97	185	1706
98	185	1691
99	186	1676
100	186	1663
101	187	1650
102	187	1636
103	188	1622
104	188	1609
105	189	1597
106	189	1584
107	190	1571
108	190	1559
109	191	1546
110	191	1534
111	192	1523
112	192	1512
113	193	1501
114	193	1490
115	194	1478
116	194	1467
117	194	1456
118	195	1445
119	195	1435
120	196	1425
121	196	1414
122	197	1404
123	197	1395
124	198	1386
125	198	1376
126	198	1367
127	199	1357
128	199	1348
129	200	1339
130	200	1330
131	201	1322
132	201	1313
133	201	1305
134	202	1296
135	202	1288
136	203	1280
137	203	1273
138	204	1265
139	204	1257
140	205	1249
141	205	1242
142	206	1234
143	206	1227
144	206	1219
145	207	1212
146	207	1205
147	208	1198
148	208	1191
149	209	1184
150	209	1177
151	209	1170
152	210	1163
153	210	1157
154	211	1150
155	211	1143
156	211	1137
157	212	1131
158	212	1125
159	213	1118
160	213	1112
161	213	1105
162	214	1098
163	214	1093
