iter	Passed	Remaining
0	0	626
1	1	573
2	1	580
3	2	597
4	3	600
5	3	598
6	4	592
7	4	590
8	5	599
9	6	605
10	6	599
11	7	600
12	7	600
13	8	600
14	9	604
15	9	597
16	10	597
17	10	596
18	11	595
19	12	593
20	12	591
21	13	590
22	13	587
23	14	586
24	14	584
25	15	583
26	16	582
27	16	584
28	17	587
29	18	585
30	18	584
31	19	582
32	19	580
33	20	579
34	21	579
35	21	577
36	22	576
37	22	577
38	23	576
39	23	575
40	24	575
41	25	575
42	25	574
43	26	574
44	27	573
45	27	571
46	28	575
47	29	575
48	29	575
49	30	576
50	30	576
51	31	574
52	32	574
53	32	573
54	33	571
55	33	572
56	34	571
57	35	570
58	35	570
59	36	569
60	36	568
61	37	567
62	38	567
63	38	566
64	39	566
65	39	565
66	40	564
67	41	563
68	41	562
69	42	563
70	43	563
71	43	562
72	44	562
73	44	563
74	45	562
75	46	567
76	47	566
77	47	565
78	48	564
79	48	562
80	49	561
81	50	561
82	50	557
83	51	557
84	51	557
85	52	557
86	53	556
87	53	556
88	54	555
89	54	554
90	55	555
91	56	555
92	56	555
93	57	555
94	58	555
95	58	555
96	59	554
97	60	553
98	60	552
99	61	552
100	61	551
101	62	551
102	63	551
103	63	550
104	64	549
105	65	548
106	65	548
107	66	547
108	67	548
109	67	548
110	68	548
111	69	548
112	69	547
113	70	549
114	71	547
115	71	546
116	72	544
117	72	542
118	73	541
119	73	539
120	74	538
121	74	537
122	75	535
123	75	533
124	75	531
125	76	529
126	76	527
127	77	525
128	77	524
129	78	523
130	78	521
131	79	520
132	79	518
133	79	516
134	80	514
135	80	513
136	81	511
137	81	510
138	82	508
139	82	506
140	82	505
141	83	502
142	83	501
143	84	500
144	84	498
145	85	498
146	85	496
147	86	495
148	86	494
149	87	493
150	87	492
151	88	491
152	88	492
153	89	491
154	89	489
155	90	488
156	90	487
157	91	486
158	91	484
159	92	483
160	92	481
161	92	479
162	93	478
163	93	477
164	94	476
165	94	475
166	95	474
167	95	473
168	96	472
169	96	471
170	96	470
171	97	469
172	97	468
173	98	467
174	98	466
175	99	465
176	99	463
177	100	463
178	100	462
179	101	461
180	101	460
181	102	459
182	102	457
183	102	456
184	103	455
185	103	453
186	104	452
187	104	451
188	104	450
189	105	449
190	105	448
191	106	447
192	106	446
193	107	445
194	107	444
195	108	443
196	108	442
197	108	441
198	109	440
199	109	438
200	110	437
201	110	436
202	111	435
203	111	435
204	112	434
205	112	433
206	112	432
207	113	431
208	113	430
209	114	429
210	114	428
211	115	427
212	115	426
213	115	425
214	116	424
215	116	424
216	117	423
217	117	422
218	118	421
219	118	420
220	118	419
221	119	418
222	119	417
223	120	416
224	120	415
225	121	414
226	121	413
227	121	412
228	122	412
229	122	411
230	123	410
231	123	409
232	124	408
233	124	407
234	124	406
235	125	405
236	125	404
237	126	403
238	126	402
239	127	402
240	127	401
241	128	401
242	128	400
243	129	399
244	129	399
245	129	398
246	130	397
247	130	396
248	131	395
249	131	395
250	132	394
251	132	393
252	133	392
253	133	392
254	134	391
255	134	391
256	135	390
257	135	389
258	135	389
259	136	388
260	136	387
261	137	386
262	137	386
263	138	385
264	138	384
265	139	384
266	139	383
267	140	382
268	140	382
269	141	381
270	141	381
271	142	380
272	142	380
273	143	379
274	143	378
275	144	378
276	144	377
277	145	377
278	145	376
279	146	375
280	146	374
281	146	374
282	147	373
283	147	372
284	148	371
285	148	370
286	149	370
287	149	369
288	150	369
289	150	368
290	151	367
291	151	367
292	151	366
293	152	365
294	152	364
295	153	364
296	153	363
297	153	362
298	154	361
299	154	360
300	155	360
301	155	359
302	156	359
303	156	358
304	157	358
305	157	357
306	157	356
307	158	355
308	158	355
309	159	354
310	159	353
311	159	352
312	160	351
313	161	351
314	161	351
315	161	350
316	162	350
317	163	349
318	163	349
319	163	348
320	164	347
321	164	347
322	165	346
323	165	346
324	166	345
325	166	345
326	167	344
327	167	343
328	168	343
329	168	342
330	169	341
331	169	341
332	169	340
333	170	339
334	170	339
335	171	338
336	171	337
337	172	337
338	172	336
339	173	336
340	173	335
341	173	334
342	174	333
343	174	333
344	175	332
345	175	332
346	176	331
347	176	330
348	176	329
349	177	329
350	178	329
351	178	328
352	179	328
353	179	327
354	180	327
355	180	326
356	181	326
357	181	326
358	182	325
359	182	324
360	183	324
361	183	323
362	184	323
363	184	322
364	185	322
365	185	321
366	186	321
367	186	320
368	187	319
369	187	319
370	187	318
371	188	317
372	188	317
373	189	316
374	189	316
375	190	315
376	190	314
377	190	314
378	191	313
379	191	312
380	192	312
381	192	311
382	192	310
383	193	310
384	194	310
385	194	309
386	194	308
387	195	308
388	195	307
389	196	306
390	196	306
391	197	305
392	197	304
393	197	304
394	198	303
395	198	302
396	198	302
397	199	301
398	199	301
399	200	300
400	200	299
401	201	299
402	201	298
403	201	297
404	202	297
405	202	296
406	203	295
407	203	295
408	203	294
409	204	293
410	204	293
411	205	292
412	205	292
413	205	291
414	206	290
415	206	290
416	207	289
417	207	289
418	208	288
419	208	288
420	208	287
421	209	286
422	209	286
423	210	285
424	210	284
425	210	284
426	211	283
427	211	283
428	212	282
429	212	281
430	213	281
431	213	280
432	213	280
433	214	279
434	214	278
435	215	278
436	215	277
437	215	276
438	216	276
439	216	275
440	217	275
441	217	274
442	217	274
443	218	273
444	218	272
445	219	272
446	219	271
447	220	271
448	220	270
449	220	269
450	221	269
451	221	268
452	222	268
453	222	267
454	223	267
455	223	266
456	223	266
457	224	265
458	224	264
459	225	264
460	225	263
461	225	263
462	226	262
463	226	261
464	227	261
465	227	261
466	228	260
467	228	260
468	229	259
469	229	259
470	230	258
471	230	258
472	231	257
473	231	257
474	232	256
475	232	256
476	233	255
477	233	255
478	233	254
479	234	253
480	234	253
481	235	252
482	235	252
483	236	251
484	236	251
485	237	250
486	237	250
487	237	249
488	238	249
489	238	248
490	239	248
491	239	247
492	240	246
493	240	246
494	240	245
495	241	245
496	241	244
497	242	244
498	242	243
499	243	243
500	243	242
501	244	242
502	244	241
503	245	241
504	245	240
505	246	240
506	246	239
507	247	239
508	247	238
509	248	238
510	248	237
511	249	237
512	249	236
513	250	236
514	250	236
515	251	235
516	251	234
517	251	234
518	252	233
519	252	233
520	253	232
521	253	232
522	254	231
523	254	231
524	254	230
525	255	230
526	255	229
527	256	229
528	256	228
529	257	227
530	257	227
531	257	226
532	258	226
533	258	225
534	259	225
535	259	224
536	259	224
537	260	223
538	260	223
539	261	222
540	261	222
541	262	221
542	262	220
543	263	220
544	263	219
545	263	219
546	264	218
547	264	218
548	265	217
549	265	217
550	266	216
551	266	216
552	266	215
553	267	215
554	267	214
555	268	214
556	268	213
557	269	213
558	269	212
559	269	211
560	270	211
561	270	210
562	271	210
563	271	209
564	271	209
565	272	208
566	272	208
567	273	207
568	273	207
569	273	206
570	274	206
571	274	205
572	275	205
573	275	204
574	276	204
575	276	203
576	276	202
577	277	202
578	277	201
579	278	201
580	278	200
581	279	200
582	279	199
583	279	199
584	280	198
585	280	198
586	281	197
587	281	197
588	282	196
589	282	196
590	282	195
591	283	195
592	283	194
593	284	194
594	284	193
595	285	193
596	285	192
597	286	192
598	286	191
599	286	191
600	287	190
601	287	190
602	288	189
603	288	189
604	289	188
605	289	188
606	290	187
607	290	187
608	290	186
609	291	186
610	291	185
611	292	185
612	292	184
613	293	184
614	293	183
615	293	183
616	294	182
617	294	182
618	295	181
619	295	181
620	296	180
621	296	180
622	296	179
623	297	179
624	297	178
625	298	178
626	298	177
627	299	177
628	299	176
629	300	176
630	300	175
631	301	175
632	301	175
633	302	174
634	303	174
635	303	173
636	304	173
637	304	172
638	305	172
639	305	172
640	306	171
641	306	171
642	307	170
643	307	169
644	307	169
645	308	168
646	308	168
647	309	167
648	309	167
649	309	166
650	310	166
651	310	165
652	311	165
653	311	164
654	312	164
655	312	163
656	313	163
657	313	162
658	313	162
659	314	161
660	314	161
661	315	160
662	315	160
663	316	160
664	317	159
665	317	159
666	317	158
667	318	158
668	318	157
669	319	157
670	319	156
671	319	156
672	320	155
673	320	155
674	321	154
675	321	154
676	322	153
677	322	153
678	323	152
679	323	152
680	324	151
681	324	151
682	324	150
683	325	150
684	325	149
685	326	149
686	326	148
687	327	148
688	327	147
689	327	147
690	328	146
691	328	146
692	329	145
693	329	145
694	330	145
695	330	144
696	331	144
697	331	143
698	332	143
699	332	142
700	333	142
701	333	141
702	334	141
703	334	140
704	335	140
705	335	139
706	336	139
707	336	138
708	336	138
709	337	137
710	337	137
711	338	136
712	338	136
713	339	135
714	339	135
715	340	134
716	340	134
717	341	134
718	341	133
719	342	133
720	342	132
721	342	132
722	343	131
723	344	131
724	344	130
725	344	130
726	345	129
727	345	129
728	346	128
729	346	128
730	347	127
731	347	127
732	348	126
733	348	126
734	348	125
735	349	125
736	349	124
737	350	124
738	350	123
739	351	123
740	351	122
741	351	122
742	352	121
743	352	121
744	353	120
745	353	120
746	353	119
747	354	119
748	354	118
749	355	118
750	355	117
751	356	117
752	356	116
753	357	116
754	357	116
755	357	115
756	358	115
757	358	114
758	359	114
759	359	113
760	360	113
761	360	112
762	361	112
763	361	111
764	362	111
765	362	110
766	363	110
767	363	109
768	364	109
769	364	108
770	364	108
771	365	107
772	365	107
773	366	106
774	366	106
775	367	105
776	367	105
777	368	105
778	368	104
779	369	104
780	369	103
781	369	103
782	370	102
783	370	102
784	371	101
785	371	101
786	372	100
787	372	100
788	373	99
789	373	99
790	373	98
791	374	98
792	374	97
793	375	97
794	375	96
795	376	96
796	376	95
797	377	95
798	377	95
799	378	94
800	378	94
801	378	93
802	379	93
803	379	92
804	380	92
805	380	91
806	381	91
807	381	90
808	382	90
809	382	89
810	383	89
811	383	88
812	383	88
813	384	87
814	384	87
815	385	86
816	386	86
817	386	85
818	386	85
819	387	85
820	387	84
821	388	84
822	388	83
823	389	83
824	389	82
825	389	82
826	390	81
827	390	81
828	391	80
829	391	80
830	392	79
831	392	79
832	393	78
833	393	78
834	394	77
835	394	77
836	395	76
837	395	76
838	396	76
839	396	75
840	397	75
841	397	74
842	398	74
843	398	73
844	399	73
845	399	72
846	400	72
847	400	71
848	400	71
849	401	70
850	401	70
851	402	69
852	402	69
853	403	68
854	403	68
855	404	67
856	404	67
857	405	67
858	405	66
859	406	66
860	406	65
861	407	65
862	407	64
863	407	64
864	408	63
865	408	63
866	409	62
867	410	62
868	410	61
869	410	61
870	411	60
871	411	60
872	412	59
873	412	59
874	413	59
875	413	58
876	414	58
877	414	57
878	415	57
879	415	56
880	416	56
881	416	55
882	417	55
883	417	54
884	418	54
885	418	53
886	419	53
887	419	52
888	420	52
889	420	51
890	421	51
891	421	51
892	422	50
893	422	50
894	423	49
895	423	49
896	424	48
897	424	48
898	424	47
899	425	47
900	425	46
901	426	46
902	426	45
903	427	45
904	428	44
905	428	44
906	429	43
907	429	43
908	430	43
909	430	42
910	431	42
911	431	41
912	432	41
913	432	40
914	433	40
915	433	39
916	434	39
917	434	38
918	435	38
919	435	37
920	436	37
921	436	36
922	436	36
923	437	35
924	437	35
925	438	35
926	438	34
927	439	34
928	439	33
929	440	33
930	440	32
931	441	32
932	441	31
933	442	31
934	442	30
935	443	30
936	443	29
937	444	29
938	444	28
939	444	28
940	445	27
941	445	27
942	446	26
943	446	26
944	447	26
945	447	25
946	448	25
947	448	24
948	449	24
949	449	23
950	450	23
951	450	22
952	450	22
953	451	21
954	451	21
955	452	20
956	452	20
957	452	19
958	453	19
959	453	18
960	454	18
961	454	17
962	455	17
963	455	17
964	455	16
965	456	16
966	456	15
967	457	15
968	457	14
969	458	14
970	458	13
971	459	13
972	459	12
973	459	12
974	460	11
975	460	11
976	461	10
977	461	10
978	462	9
979	462	9
980	462	8
981	463	8
982	463	8
983	464	7
984	464	7
985	465	6
986	465	6
987	465	5
988	466	5
989	466	4
990	467	4
991	467	3
992	468	3
993	468	2
994	468	2
995	469	1
996	469	1
997	470	0
998	470	0
999	471	0
